Country,Life expectancy,male,female
Togo,61.17,60.266,62.054
Tonga,70.968,69.01,72.966
Trinidad and Tobago,73.55,70.91,76.276
Tunisia,76.79,74.782,78.812
Turkey,77.766,74.808,80.622
Turkmenistan,68.24,64.746,71.776
Uganda,63.408,61.048,65.65
Ukraine,72.092,67.122,76.886
United Arab Emirates,78.034,77.352,79.374
United Kingdom,81.398,79.71,83.052
Tanzania,65.46,63.632,67.26
United States of America,78.93,76.424,81.464
United States Virgin Islands,80.654,78.052,83.148
Uruguay,77.986,74.222,81.532
Uzbekistan,71.734,69.566,73.882
Vanuatu,70.546,69.034,72.24
Venezuela,72.214,68.476,76.148
Vietnam,75.47,71.388,79.58
W. Sahara,70.348,68.688,72.398
World,72.632,70.276,75.068
Yemen,66.194,64.504,67.902
Zambia,63.836,60.82,66.816
Zimbabwe,61.362,59.652,62.796
Greenland,0,0,0
Antarctica,0,0,0
