Country,Life expectancy,male,female,Cigarette consumption
Pakistan,67.328,66.374,68.36,363.1659969
Palestine,74.14,72.488,75.852,
Panama,78.584,75.534,81.798,219.3262857
Papua New Guinea,64.578,63.332,65.918,1689.300979
Paraguay,74.284,72.286,76.432,384.5145655
Peru,76.822,74.174,79.568,97.6932865
Philippines,71.282,67.316,75.554,1132.240949
Poland,78.784,74.892,82.614,1363.104161
Portugal,82.11,79.118,84.896,1133.385994
Puerto Rico,80.186,76.64,83.554,
Qatar,80.304,79.246,82.076,1020.3
Reunion,80.638,77.8,84.03,
Romania,76.098,72.668,79.556,1204.265677
Russia,72.566,67.134,77.784,2294.962234
Rwanda,69.064,66.862,71.17,93.99341477
S. Sudan,57.948,56.454,59.488,383.673503
Saint Lucia,76.262,74.904,77.646,553.9
Saint Vincent and the Grenadines,72.608,70.348,75.212,259.6
Samoa,73.366,71.354,75.532,1470.648264
Sao Tome and Principe,70.434,68.018,72.87,
Saudi Arabia,75.216,74.014,76.854,1340.956322
Senegal,68.03,65.848,70.004,359.4077758
Serbia,76.05,73.458,78.66,1898.570887
Seychelles,73.47,69.972,77.446,543.6394055
Sierra Leone,54.81,53.948,55.622,468.5916042
Singapore,83.662,81.574,85.772,851.1768017
Slovakia,77.586,74.08,80.996,1500.898383
Slovenia,81.388,78.654,84.086,2236.479966
Solomon Islands,73.014,71.306,74.896,1419.127189
Somalia,57.5,55.822,59.24,198.4656967
South Africa,64.124,60.728,67.652,509.5543473
South Korea,83.062,79.962,85.988,1667.39187
Spain,83.612,80.868,86.302,1498.993616
Sri Lanka,77.056,73.692,80.326,254.6424097
Sudan,65.406,63.55,67.292,339.8546674
Suriname,71.746,68.526,75.13,511.7402784
Sweden,82.874,81.126,84.616,716.1581123
Switzerland,83.836,81.928,85.654,1489.796121
Syria,73.216,68.768,78.24,2291.742623
Taiwan,80.53,77.884,83.262,
Tajikistan,71.166,68.984,73.474,361.1447378
Tanzania,65.46,63.632,67.26,181.7845771
Thailand,77.194,73.536,80.908,837.4164676
Togo,61.17,60.266,62.054,147.3257482
Tonga,70.968,69.01,72.966,986.9293544
Trinidad and Tobago,73.55,70.91,76.276,682.5137347
Tunisia,76.79,74.782,78.812,1579.95018
Turkey,77.766,74.808,80.622,1770.729158
Turkmenistan,68.24,64.746,71.776,962.1125745
Uganda,63.408,61.048,65.65,195.7212747
Ukraine,72.092,67.122,76.886,1849.405074
United Arab Emirates,78.034,77.352,79.374,748.4541148
United Kingdom,81.398,79.71,83.052,827.6695621
United States of America,78.93,76.424,81.464,181.7845771
United States Virgin Islands,80.654,78.052,83.148,1016.61031
Uruguay,77.986,74.222,81.532,899.3879186
Uzbekistan,71.734,69.566,73.882,495.9184912
Vanuatu,70.546,69.034,72.24,1069.162854
Venezuela,72.214,68.476,76.148,396.1579265
Vietnam,75.47,71.388,79.58,1049.571051
W. Sahara,70.348,68.688,72.398,
World,72.632,70.276,75.068,
Yemen,66.194,64.504,67.902,423.8498763
Zambia,63.836,60.82,66.816,145.4240731
Zimbabwe,61.362,59.652,62.796,122.8570347
